source,dataset,date,time,latitude,longitude,ozone,ozone_unit,carbon_dioxide,carbon_dioxide_unit
open_meteo,air_quality,2026-05-05,2026-05-05T00:00,40.4,-3.6999989,67.0,μg/m³,453,ppm
open_meteo,air_quality,2026-05-05,2026-05-05T01:00,40.4,-3.6999989,66.0,μg/m³,455,ppm
open_meteo,air_quality,2026-05-05,2026-05-05T02:00,40.4,-3.6999989,68.0,μg/m³,455,ppm
open_meteo,air_quality,2026-05-05,2026-05-05T03:00,40.4,-3.6999989,65.0,μg/m³,454,ppm
open_meteo,air_quality,2026-05-05,2026-05-05T04:00,40.4,-3.6999989,61.0,μg/m³,452,ppm
open_meteo,air_quality,2026-05-05,2026-05-05T05:00,40.4,-3.6999989,58.0,μg/m³,451,ppm
open_meteo,air_quality,2026-05-05,2026-05-05T06:00,40.4,-3.6999989,51.0,μg/m³,452,ppm
open_meteo,air_quality,2026-05-05,2026-05-05T07:00,40.4,-3.6999989,39.0,μg/m³,455,ppm
open_meteo,air_quality,2026-05-05,2026-05-05T08:00,40.4,-3.6999989,29.0,μg/m³,456,ppm
open_meteo,air_quality,2026-05-05,2026-05-05T09:00,40.4,-3.6999989,36.0,μg/m³,454,ppm
open_meteo,air_quality,2026-05-05,2026-05-05T10:00,40.4,-3.6999989,56.0,μg/m³,451,ppm
open_meteo,air_quality,2026-05-05,2026-05-05T11:00,40.4,-3.6999989,73.0,μg/m³,449,ppm
open_meteo,air_quality,2026-05-05,2026-05-05T12:00,40.4,-3.6999989,85.0,μg/m³,448,ppm
open_meteo,air_quality,2026-05-05,2026-05-05T13:00,40.4,-3.6999989,90.0,μg/m³,447,ppm
open_meteo,air_quality,2026-05-05,2026-05-05T14:00,40.4,-3.6999989,92.0,μg/m³,446,ppm
open_meteo,air_quality,2026-05-05,2026-05-05T15:00,40.4,-3.6999989,95.0,μg/m³,446,ppm
open_meteo,air_quality,2026-05-05,2026-05-05T16:00,40.4,-3.6999989,95.0,μg/m³,446,ppm
open_meteo,air_quality,2026-05-05,2026-05-05T17:00,40.4,-3.6999989,90.0,μg/m³,446,ppm
open_meteo,air_quality,2026-05-05,2026-05-05T18:00,40.4,-3.6999989,87.0,μg/m³,446,ppm
open_meteo,air_quality,2026-05-05,2026-05-05T19:00,40.4,-3.6999989,88.0,μg/m³,446,ppm
open_meteo,air_quality,2026-05-05,2026-05-05T20:00,40.4,-3.6999989,84.0,μg/m³,447,ppm
open_meteo,air_quality,2026-05-05,2026-05-05T21:00,40.4,-3.6999989,81.0,μg/m³,448,ppm
open_meteo,air_quality,2026-05-05,2026-05-05T22:00,40.4,-3.6999989,77.0,μg/m³,449,ppm
open_meteo,air_quality,2026-05-05,2026-05-05T23:00,40.4,-3.6999989,75.0,μg/m³,450,ppm
