source,dataset,date,time,latitude,longitude,temperature_2m,temperature_2m_unit,precipitation,precipitation_unit
open_meteo,historical_weather,2026-05-06,2026-05-06T00:00,40.386642,-3.6760864,12.5,°C,0.0,mm
open_meteo,historical_weather,2026-05-06,2026-05-06T01:00,40.386642,-3.6760864,11.1,°C,0.0,mm
open_meteo,historical_weather,2026-05-06,2026-05-06T02:00,40.386642,-3.6760864,10.9,°C,0.0,mm
open_meteo,historical_weather,2026-05-06,2026-05-06T03:00,40.386642,-3.6760864,10.4,°C,0.0,mm
open_meteo,historical_weather,2026-05-06,2026-05-06T04:00,40.386642,-3.6760864,9.9,°C,0.0,mm
open_meteo,historical_weather,2026-05-06,2026-05-06T05:00,40.386642,-3.6760864,9.4,°C,0.0,mm
open_meteo,historical_weather,2026-05-06,2026-05-06T06:00,40.386642,-3.6760864,8.4,°C,0.0,mm
open_meteo,historical_weather,2026-05-06,2026-05-06T07:00,40.386642,-3.6760864,7.5,°C,0.0,mm
open_meteo,historical_weather,2026-05-06,2026-05-06T08:00,40.386642,-3.6760864,7.8,°C,0.0,mm
open_meteo,historical_weather,2026-05-06,2026-05-06T09:00,40.386642,-3.6760864,9.4,°C,0.0,mm
open_meteo,historical_weather,2026-05-06,2026-05-06T10:00,40.386642,-3.6760864,11.5,°C,0.0,mm
open_meteo,historical_weather,2026-05-06,2026-05-06T11:00,40.386642,-3.6760864,13.8,°C,0.0,mm
open_meteo,historical_weather,2026-05-06,2026-05-06T12:00,40.386642,-3.6760864,15.5,°C,0.0,mm
open_meteo,historical_weather,2026-05-06,2026-05-06T13:00,40.386642,-3.6760864,17.3,°C,0.0,mm
open_meteo,historical_weather,2026-05-06,2026-05-06T14:00,40.386642,-3.6760864,17.0,°C,0.0,mm
open_meteo,historical_weather,2026-05-06,2026-05-06T15:00,40.386642,-3.6760864,18.8,°C,0.0,mm
open_meteo,historical_weather,2026-05-06,2026-05-06T16:00,40.386642,-3.6760864,19.5,°C,0.0,mm
open_meteo,historical_weather,2026-05-06,2026-05-06T17:00,40.386642,-3.6760864,19.9,°C,0.0,mm
open_meteo,historical_weather,2026-05-06,2026-05-06T18:00,40.386642,-3.6760864,20.1,°C,0.0,mm
open_meteo,historical_weather,2026-05-06,2026-05-06T19:00,40.386642,-3.6760864,20.0,°C,0.0,mm
open_meteo,historical_weather,2026-05-06,2026-05-06T20:00,40.386642,-3.6760864,19.2,°C,0.0,mm
open_meteo,historical_weather,2026-05-06,2026-05-06T21:00,40.386642,-3.6760864,18.0,°C,0.0,mm
open_meteo,historical_weather,2026-05-06,2026-05-06T22:00,40.386642,-3.6760864,16.6,°C,0.0,mm
open_meteo,historical_weather,2026-05-06,2026-05-06T23:00,40.386642,-3.6760864,15.4,°C,0.0,mm
