date,source,dataset,metric_name,observations,min_value,avg_value,max_value
2026-05-05,datos_madrid,air_quality_accumulated,benzene,96,0.0,0.2281,0.8
2026-05-05,datos_madrid,air_quality_accumulated,carbon_monoxide,96,0.1,0.224,0.5
2026-05-05,datos_madrid,air_quality_accumulated,ethylbenzene,96,0.0,0.2406,1.3
2026-05-05,datos_madrid,air_quality_accumulated,nitrogen_dioxide,552,0.0,10.6848,63.0
2026-05-05,datos_madrid,air_quality_accumulated,nitrogen_monoxide,552,0.0,1.8931,27.0
2026-05-05,datos_madrid,air_quality_accumulated,nitrogen_oxides,552,0.0,13.6196,91.0
2026-05-05,datos_madrid,air_quality_accumulated,ozone,312,0.0,82.2179,107.0
2026-05-05,datos_madrid,air_quality_accumulated,particles_pm10,336,0.0,7.3869,29.0
2026-05-05,datos_madrid,air_quality_accumulated,particles_pm2_5,264,0.0,3.678,12.0
2026-05-05,datos_madrid,air_quality_accumulated,sulfur_dioxide,72,2.0,2.9583,4.0
2026-05-05,datos_madrid,air_quality_accumulated,toluene,96,0.2,1.1406,3.0
2026-05-05,open_meteo,historical_weather,precipitation,24,0.0,0.0083,0.1
2026-05-05,open_meteo,historical_weather,relative_humidity_2m,24,26.0,51.6667,79.0
2026-05-05,open_meteo,historical_weather,shortwave_radiation,24,0.0,297.3333,900.0
2026-05-05,open_meteo,historical_weather,temperature_2m,24,10.1,14.0417,19.0
2026-05-05,open_meteo,historical_weather,wind_speed_10m,24,1.7,8.4417,15.1
